"site_id","name","fine_storm_phase","max_total_abundance","min_total_abundance","mean_total_abundance","se_total","max_newstrand_abundance","min_newstrand_abundance","mean_newstrand_abundance","se_newstrand","max_oldstrand_abundance","min_oldstrand_abundance","mean_oldstrand_abundance","se_oldstrand","n_surveys","cluster_lon","cluster_lat"
"13_cluster","OLGA","post",12,12,12,NA,0,0,0,NA,12,12,12,NA,1,-89.327391636076,30.3068862373418
"13_cluster","OLGA","pre",46,3,28,13,46,0,27,14,3,3,3,NA,3,-89.327391636076,30.3068862373418
"13_cluster","SALLY","post",2,1,2,0,3,1,2,1,NA,NA,NA,NA,3,-89.327391636076,30.3068862373418
"13_cluster","SALLY","pre",23,1,6,4,23,0,5,4,NA,NA,NA,NA,5,-89.327391636076,30.3068862373418
"142_cluster","DELTA","post",244,244,244,NA,0,0,0,NA,244,244,244,NA,1,-90.0183771666667,29.9533323333333
"142_cluster","DELTA","pre",659,659,659,NA,0,0,0,NA,659,659,659,NA,1,-90.0183771666667,29.9533323333333
"14_cluster","NICHOLAS","post",112,8,61,30,106,0,35,35,64,8,36,28,3,-94.9880913166667,29.59547585
"14_cluster","NICHOLAS","pre",160,160,160,NA,0,0,0,NA,160,160,160,NA,1,-94.9880913166667,29.59547585
"158_cluster","NICHOLAS","post",25,13,19,6,18,0,9,9,25,25,25,NA,2,-95.0196019375,29.55516275
"158_cluster","NICHOLAS","pre",21,0,10,10,21,0,10,10,0,0,0,NA,2,-95.0196019375,29.55516275
"159_cluster","MINDY","post",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-85.3101902857143,29.6827152857143
"159_cluster","MINDY","pre",0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,-85.3101902857143,29.6827152857143
"17_cluster","BERYL","post",15,15,15,NA,0,0,0,NA,15,15,15,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","BERYL","pre",97,14,56,41,97,14,56,41,NA,NA,NA,NA,2,-97.2142365694444,27.5930081365741
"17_cluster","BETA","post",324,8,113,53,21,0,4,4,324,8,161,67,6,-97.2142365694444,27.5930081365741
"17_cluster","BETA","pre",153,17,76,26,153,0,78,30,28,28,28,NA,5,-97.2142365694444,27.5930081365741
"17_cluster","HANNA","post",33,15,23,4,33,0,19,7,16,16,16,NA,4,-97.2142365694444,27.5930081365741
"17_cluster","HANNA","pre",56,3,32,8,39,0,10,6,56,40,48,8,6,-97.2142365694444,27.5930081365741
"17_cluster","IMELDA","post",106,40,73,7,106,0,32,16,87,40,66,9,8,-97.2142365694444,27.5930081365741
"17_cluster","IMELDA","pre",121,0,58,17,121,0,33,20,79,0,39,23,6,-97.2142365694444,27.5930081365741
"17_cluster","NICHOLAS","post",147,3,75,72,147,4,76,72,NA,NA,NA,NA,2,-97.2142365694444,27.5930081365741
"17_cluster","NICHOLAS","pre",100,100,100,NA,0,0,0,NA,100,100,100,NA,1,-97.2142365694444,27.5930081365741
"180_cluster","BETA","post",3,3,3,NA,3,3,3,NA,NA,NA,NA,NA,1,-96.9259754827586,27.9934573103448
"180_cluster","BETA","pre",16,3,10,6,16,3,10,6,NA,NA,NA,NA,2,-96.9259754827586,27.9934573103448
"180_cluster","HANNA","post",33,33,33,NA,33,33,33,NA,NA,NA,NA,NA,1,-96.9259754827586,27.9934573103448
"180_cluster","HANNA","pre",15,6,11,3,15,6,11,3,NA,NA,NA,NA,3,-96.9259754827586,27.9934573103448
"180_cluster","NICHOLAS","post",83,11,42,21,83,0,38,24,NA,NA,NA,NA,3,-96.9259754827586,27.9934573103448
"180_cluster","NICHOLAS","pre",10,10,10,NA,10,10,10,NA,NA,NA,NA,NA,1,-96.9259754827586,27.9934573103448
"186_cluster","HANNA","post",1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,-97.317873625,27.87043
"186_cluster","HANNA","pre",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-97.317873625,27.87043
"187_cluster","BARRY","post",10,7,8,1,0,0,0,0,10,7,8,1,2,-85.2670577826087,29.6827144782609
"187_cluster","BARRY","pre",2,2,2,NA,2,2,2,NA,NA,NA,NA,NA,1,-85.2670577826087,29.6827144782609
"187_cluster","FAY","post",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-85.2670577826087,29.6827144782609
"187_cluster","FAY","pre",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-85.2670577826087,29.6827144782609
"244_cluster","ZETA","post",4,4,4,NA,0,0,0,NA,4,4,4,NA,1,-89.184796,30.3319025
"244_cluster","ZETA","pre",19,19,19,NA,0,0,0,NA,19,19,19,NA,1,-89.184796,30.3319025
"256_cluster","CRISTOBAL","post",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-88.87024,30.392169
"256_cluster","CRISTOBAL","pre",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-88.87024,30.392169
"25_cluster","BARRY","post",288,288,288,NA,0,0,0,NA,288,288,288,NA,1,-94.9829379583333,29.6759498333333
"25_cluster","BARRY","pre",7290,7290,7290,NA,0,0,0,NA,7290,7290,7290,NA,1,-94.9829379583333,29.6759498333333
"263_cluster","NESTOR","post",7,7,7,NA,7,7,7,NA,NA,NA,NA,NA,1,-88.1188935,30.2442031
"263_cluster","NESTOR","pre",3,3,3,NA,0,0,0,NA,3,3,3,NA,1,-88.1188935,30.2442031
"26_cluster","BARRY","post",30846,0,12971,9236,0,0,0,0,30846,0,12971,9236,3,-94.8844629,29.38947145
"26_cluster","BARRY","pre",9628,9628,9628,NA,0,0,0,NA,9628,9628,9628,NA,1,-94.8844629,29.38947145
"284_cluster","IMELDA","post",24,24,24,NA,0,0,0,NA,24,24,24,NA,1,-95.2942955,29.746623
"284_cluster","IMELDA","pre",4950,4950,4950,NA,0,0,0,NA,4950,4950,4950,NA,1,-95.2942955,29.746623
"2_cluster","GRACE","post",6,6,6,NA,0,0,0,NA,6,6,6,NA,1,-96.1244223623188,19.1943324637681
"2_cluster","GRACE","pre",9,9,9,NA,0,0,0,NA,9,9,9,NA,1,-96.1244223623188,19.1943324637681
"2_cluster","KARL","post",50,50,50,NA,0,0,0,NA,50,50,50,NA,1,-96.1244223623188,19.1943324637681
"2_cluster","KARL","pre",16,3,10,6,0,0,0,0,16,3,10,6,2,-96.1244223623188,19.1943324637681
"32_cluster","BARRY","post",529,14,272,258,0,0,0,0,529,14,272,258,2,-95.0088200169492,29.6536155338983
"32_cluster","BARRY","pre",89,89,89,NA,0,0,0,NA,89,89,89,NA,1,-95.0088200169492,29.6536155338983
"32_cluster","IMELDA","post",351,252,302,49,129,0,64,64,252,252,252,NA,2,-95.0088200169492,29.6536155338983
"32_cluster","IMELDA","pre",82,82,82,NA,0,0,0,NA,82,82,82,NA,1,-95.0088200169492,29.6536155338983
"32_cluster","NICHOLAS","post",76,2,38,15,76,0,30,19,29,2,16,14,4,-95.0088200169492,29.6536155338983
"32_cluster","NICHOLAS","pre",123,22,72,50,22,0,11,11,123,123,123,NA,2,-95.0088200169492,29.6536155338983
"34_cluster","CLAUDETTE","post",63,4,30,15,63,0,29,15,4,4,4,NA,4,-90.0719117241379,29.1769082068966
"34_cluster","CLAUDETTE","pre",32,22,27,5,32,22,27,5,NA,NA,NA,NA,2,-90.0719117241379,29.1769082068966
"3_cluster","BETA","post",119,43,74,23,119,0,59,34,43,43,43,NA,3,-97.1000093112128,27.7692100183066
"3_cluster","BETA","pre",53,53,53,NA,53,53,53,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","DELTA","during",119,119,119,NA,119,119,119,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","DELTA","post",59,40,47,4,59,0,15,15,45,40,43,1,4,-97.1000093112128,27.7692100183066
"3_cluster","DELTA","pre",53,53,53,NA,53,53,53,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","HANNA","post",153,0,45,36,153,0,39,38,25,25,25,NA,4,-97.1000093112128,27.7692100183066
"3_cluster","HANNA","pre",7,0,3,1,2,0,0,0,7,3,4,1,7,-97.1000093112128,27.7692100183066
"3_cluster","IMELDA","during",67,67,67,NA,0,0,0,NA,67,67,67,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","IMELDA","post",155,0,31,12,155,0,31,12,4,0,1,1,12,-97.1000093112128,27.7692100183066
"3_cluster","IMELDA","pre",162,28,77,28,162,0,52,28,124,124,124,NA,5,-97.1000093112128,27.7692100183066
"42_cluster","IMELDA","post",19,19,19,NA,19,19,19,NA,NA,NA,NA,NA,1,-97.2713605714286,27.4824022678571
"42_cluster","IMELDA","pre",52,35,44,8,0,0,0,0,52,35,44,8,2,-97.2713605714286,27.4824022678571
"46_cluster","DELTA","post",1675,1675,1675,NA,0,0,0,NA,1675,1675,1675,NA,1,-89.9945463846154,29.9399062307692
"46_cluster","DELTA","pre",295,295,295,NA,295,295,295,NA,NA,NA,NA,NA,1,-89.9945463846154,29.9399062307692
"46_cluster","IDA","post",193,193,193,NA,193,193,193,NA,NA,NA,NA,NA,1,-89.9945463846154,29.9399062307692
"46_cluster","IDA","pre",253,253,253,NA,253,253,253,NA,NA,NA,NA,NA,1,-89.9945463846154,29.9399062307692
"46_cluster","ZETA","post",1675,1675,1675,NA,0,0,0,NA,1675,1675,1675,NA,1,-89.9945463846154,29.9399062307692
"46_cluster","ZETA","pre",295,295,295,NA,295,295,295,NA,NA,NA,NA,NA,1,-89.9945463846154,29.9399062307692
"58_cluster","MARCO","post",1064,48,366,114,1687,0,223,156,1050,48,275,119,11,-90.04972878125,29.95736728125
"58_cluster","MARCO","pre",6945,1667,4306,2639,6945,0,3472,3472,1667,1667,1667,NA,2,-90.04972878125,29.95736728125
"58_cluster","SALLY","post",575,70,301,147,575,0,192,192,259,70,164,94,3,-90.04972878125,29.95736728125
"58_cluster","SALLY","pre",6945,48,945,610,6945,0,802,633,1050,48,275,119,11,-90.04972878125,29.95736728125
"65_cluster","BETA","post",15,9,12,3,9,0,4,4,15,15,15,NA,2,-97.163652079646,26.1098216460177
"65_cluster","BETA","pre",76,76,76,NA,32,32,32,NA,NA,NA,NA,NA,1,-97.163652079646,26.1098216460177
"65_cluster","OLGA","post",89,18,46,22,0,0,0,0,89,18,46,22,3,-97.163652079646,26.1098216460177
"65_cluster","OLGA","pre",66,0,45,12,114,0,56,18,0,0,0,NA,5,-97.163652079646,26.1098216460177
"6_cluster","FRANCINE","post",0,0,0,NA,0,0,0,NA,0,0,0,NA,1,-94.04676075,29.673591625
"6_cluster","FRANCINE","pre",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-94.04676075,29.673591625
"73_cluster","BARRY","post",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-87.8377128928571,30.3767237857143
"73_cluster","BARRY","pre",2,2,2,NA,0,0,0,NA,2,2,2,NA,1,-87.8377128928571,30.3767237857143
"73_cluster","CRISTOBAL","post",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-87.8377128928571,30.3767237857143
"73_cluster","CRISTOBAL","pre",2,0,1,1,2,0,1,1,0,0,0,NA,2,-87.8377128928571,30.3767237857143
"74_cluster","CRISTOBAL","post",4,4,4,NA,0,0,0,NA,4,4,4,NA,1,-87.8525756521739,30.3787915652174
"74_cluster","CRISTOBAL","pre",4,4,4,NA,4,4,4,NA,NA,NA,NA,NA,1,-87.8525756521739,30.3787915652174
"74_cluster","NESTOR","post",2,2,2,NA,0,0,0,NA,2,2,2,NA,1,-87.8525756521739,30.3787915652174
"74_cluster","NESTOR","pre",2,2,2,NA,0,0,0,NA,2,2,2,NA,1,-87.8525756521739,30.3787915652174
"9_cluster","BARRY","post",33,12,22,10,33,0,16,16,12,12,12,NA,2,-94.829336392054,29.2662303388306
"9_cluster","BARRY","pre",48,8,21,5,42,0,16,5,48,8,28,20,9,-94.829336392054,29.2662303388306
"9_cluster","BERYL","post",42,42,42,NA,42,42,42,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","BERYL","pre",5,1,2,1,5,0,2,1,1,1,1,NA,4,-94.829336392054,29.2662303388306
"9_cluster","BETA","during",70,70,70,NA,114,114,114,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","BETA","post",45,4,24,9,45,0,16,10,30,30,30,NA,4,-94.829336392054,29.2662303388306
"9_cluster","BETA","pre",115,5,55,23,115,2,61,23,NA,NA,NA,NA,4,-94.829336392054,29.2662303388306
"9_cluster","DELTA","post",30,30,30,NA,0,0,0,NA,30,30,30,NA,1,-94.829336392054,29.2662303388306
"9_cluster","DELTA","pre",70,4,34,10,114,2,44,15,NA,NA,NA,NA,7,-94.829336392054,29.2662303388306
"9_cluster","HANNA","post",20,1,12,3,10,0,2,2,16,8,13,3,5,-94.829336392054,29.2662303388306
"9_cluster","HANNA","pre",10,10,10,NA,0,0,0,NA,10,10,10,NA,1,-94.829336392054,29.2662303388306
"9_cluster","IMELDA","post",141,25,82,12,141,25,83,12,NA,NA,NA,NA,10,-94.829336392054,29.2662303388306
"9_cluster","IMELDA","pre",45,0,11,4,10,0,2,1,23,0,7,3,11,-94.829336392054,29.2662303388306
"9_cluster","LAURA","post",70,5,44,11,114,2,57,18,NA,NA,NA,NA,5,-94.829336392054,29.2662303388306
"9_cluster","LAURA","pre",115,1,29,17,115,0,21,19,16,8,13,3,6,-94.829336392054,29.2662303388306
"9_cluster","NICHOLAS","post",22,1,8,4,22,0,7,4,8,1,4,3,5,-94.829336392054,29.2662303388306
"9_cluster","NICHOLAS","pre",10,1,6,4,10,1,6,4,NA,NA,NA,NA,2,-94.829336392054,29.2662303388306
