"site_id","name","fine_storm_phase","fine_response","max_total_abundance","min_total_abundance","mean_total_abundance","se_total","max_newstrand_abundance","min_newstrand_abundance","mean_newstrand_abundance","se_newstrand","max_oldstrand_abundance","min_oldstrand_abundance","mean_oldstrand_abundance","se_oldstrand","n_surveys","cluster_lon","cluster_lat"
"17_cluster","BERYL","post","extended",15,15,15,NA,0,0,0,NA,15,15,15,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","BERYL","pre","acute",97,97,97,NA,97,97,97,NA,NA,NA,NA,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","BERYL","pre","subacute",14,14,14,NA,14,14,14,NA,NA,NA,NA,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","BETA","post","acute",324,203,264,60,0,0,0,0,324,203,264,60,2,-97.2142365694444,27.5930081365741
"17_cluster","BETA","post","extended",110,8,37,24,21,0,5,5,110,8,59,51,4,-97.2142365694444,27.5930081365741
"17_cluster","BETA","pre","acute",153,28,90,62,153,0,76,76,28,28,28,NA,2,-97.2142365694444,27.5930081365741
"17_cluster","BETA","pre","extended",112,17,64,48,112,17,64,48,NA,NA,NA,NA,2,-97.2142365694444,27.5930081365741
"17_cluster","BETA","pre","subacute",70,70,70,NA,108,108,108,NA,NA,NA,NA,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","HANNA","post","acute",15,15,15,NA,15,15,15,NA,NA,NA,NA,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","HANNA","post","extended",28,16,22,6,28,0,14,14,16,16,16,NA,2,-97.2142365694444,27.5930081365741
"17_cluster","HANNA","post","subacute",33,33,33,NA,33,33,33,NA,NA,NA,NA,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","HANNA","pre","acute",39,12,26,14,39,12,26,14,NA,NA,NA,NA,2,-97.2142365694444,27.5930081365741
"17_cluster","HANNA","pre","extended",56,3,33,16,4,0,1,1,56,40,48,8,3,-97.2142365694444,27.5930081365741
"17_cluster","HANNA","pre","subacute",40,40,40,NA,8,8,8,NA,NA,NA,NA,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","IMELDA","post","acute",40,40,40,NA,0,0,0,NA,40,40,40,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","IMELDA","post","extended",87,72,77,3,74,0,36,21,87,74,80,6,4,-97.2142365694444,27.5930081365741
"17_cluster","IMELDA","post","subacute",106,53,79,15,106,0,35,35,78,53,66,12,3,-97.2142365694444,27.5930081365741
"17_cluster","IMELDA","pre","acute",121,121,121,NA,121,121,121,NA,NA,NA,NA,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","IMELDA","pre","extended",62,0,36,13,62,0,19,15,38,0,19,19,4,-97.2142365694444,27.5930081365741
"17_cluster","IMELDA","pre","subacute",79,79,79,NA,0,0,0,NA,79,79,79,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","NICHOLAS","post","extended",147,147,147,NA,147,147,147,NA,NA,NA,NA,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","NICHOLAS","post","subacute",3,3,3,NA,4,4,4,NA,NA,NA,NA,NA,1,-97.2142365694444,27.5930081365741
"17_cluster","NICHOLAS","pre","extended",100,100,100,NA,0,0,0,NA,100,100,100,NA,1,-97.2142365694444,27.5930081365741
"180_cluster","BETA","post","subacute",3,3,3,NA,3,3,3,NA,NA,NA,NA,NA,1,-96.9259754827586,27.9934573103448
"180_cluster","BETA","pre","extended",16,3,10,6,16,3,10,6,NA,NA,NA,NA,2,-96.9259754827586,27.9934573103448
"180_cluster","HANNA","post","extended",33,33,33,NA,33,33,33,NA,NA,NA,NA,NA,1,-96.9259754827586,27.9934573103448
"180_cluster","HANNA","pre","acute",12,12,12,NA,12,12,12,NA,NA,NA,NA,NA,1,-96.9259754827586,27.9934573103448
"180_cluster","HANNA","pre","extended",15,6,10,4,15,6,10,4,NA,NA,NA,NA,2,-96.9259754827586,27.9934573103448
"180_cluster","NICHOLAS","post","acute",11,11,11,NA,0,0,0,NA,NA,NA,NA,NA,1,-96.9259754827586,27.9934573103448
"180_cluster","NICHOLAS","post","extended",83,83,83,NA,83,83,83,NA,NA,NA,NA,NA,1,-96.9259754827586,27.9934573103448
"180_cluster","NICHOLAS","post","subacute",32,32,32,NA,32,32,32,NA,NA,NA,NA,NA,1,-96.9259754827586,27.9934573103448
"180_cluster","NICHOLAS","pre","extended",10,10,10,NA,10,10,10,NA,NA,NA,NA,NA,1,-96.9259754827586,27.9934573103448
"186_cluster","HANNA","post","acute",1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,-97.317873625,27.87043
"186_cluster","HANNA","pre","extended",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-97.317873625,27.87043
"187_cluster","BARRY","post","extended",10,10,10,NA,0,0,0,NA,10,10,10,NA,1,-85.2670577826087,29.6827144782609
"187_cluster","BARRY","post","subacute",7,7,7,NA,0,0,0,NA,7,7,7,NA,1,-85.2670577826087,29.6827144782609
"187_cluster","BARRY","pre","extended",2,2,2,NA,2,2,2,NA,NA,NA,NA,NA,1,-85.2670577826087,29.6827144782609
"187_cluster","FAY","post","subacute",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-85.2670577826087,29.6827144782609
"187_cluster","FAY","pre","extended",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-85.2670577826087,29.6827144782609
"244_cluster","ZETA","post","extended",4,4,4,NA,0,0,0,NA,4,4,4,NA,1,-89.184796,30.3319025
"244_cluster","ZETA","pre","extended",19,19,19,NA,0,0,0,NA,19,19,19,NA,1,-89.184796,30.3319025
"256_cluster","CRISTOBAL","post","extended",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-88.87024,30.392169
"256_cluster","CRISTOBAL","pre","acute",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-88.87024,30.392169
"25_cluster","BARRY","post","extended",288,288,288,NA,0,0,0,NA,288,288,288,NA,1,-94.9829379583333,29.6759498333333
"25_cluster","BARRY","pre","extended",7290,7290,7290,NA,0,0,0,NA,7290,7290,7290,NA,1,-94.9829379583333,29.6759498333333
"263_cluster","NESTOR","post","extended",7,7,7,NA,7,7,7,NA,NA,NA,NA,NA,1,-88.1188935,30.2442031
"263_cluster","NESTOR","pre","extended",3,3,3,NA,0,0,0,NA,3,3,3,NA,1,-88.1188935,30.2442031
"26_cluster","BARRY","post","acute",30846,30846,30846,NA,0,0,0,NA,30846,30846,30846,NA,1,-94.8844629,29.38947145
"26_cluster","BARRY","post","extended",8068,0,4034,4034,0,0,0,0,8068,0,4034,4034,2,-94.8844629,29.38947145
"26_cluster","BARRY","pre","extended",9628,9628,9628,NA,0,0,0,NA,9628,9628,9628,NA,1,-94.8844629,29.38947145
"284_cluster","IMELDA","post","extended",24,24,24,NA,0,0,0,NA,24,24,24,NA,1,-95.2942955,29.746623
"284_cluster","IMELDA","pre","extended",4950,4950,4950,NA,0,0,0,NA,4950,4950,4950,NA,1,-95.2942955,29.746623
"2_cluster","GRACE","post","subacute",6,6,6,NA,0,0,0,NA,6,6,6,NA,1,-96.1244223623188,19.1943324637681
"2_cluster","GRACE","pre","extended",9,9,9,NA,0,0,0,NA,9,9,9,NA,1,-96.1244223623188,19.1943324637681
"2_cluster","KARL","post","extended",50,50,50,NA,0,0,0,NA,50,50,50,NA,1,-96.1244223623188,19.1943324637681
"2_cluster","KARL","pre","extended",16,3,10,6,0,0,0,0,16,3,10,6,2,-96.1244223623188,19.1943324637681
"32_cluster","BARRY","post","extended",529,14,272,258,0,0,0,0,529,14,272,258,2,-95.0088200169492,29.6536155338983
"32_cluster","BARRY","pre","extended",89,89,89,NA,0,0,0,NA,89,89,89,NA,1,-95.0088200169492,29.6536155338983
"32_cluster","IMELDA","post","extended",351,252,302,49,129,0,64,64,252,252,252,NA,2,-95.0088200169492,29.6536155338983
"32_cluster","IMELDA","pre","extended",82,82,82,NA,0,0,0,NA,82,82,82,NA,1,-95.0088200169492,29.6536155338983
"32_cluster","NICHOLAS","post","extended",76,2,39,37,76,0,38,38,2,2,2,NA,2,-95.0088200169492,29.6536155338983
"32_cluster","NICHOLAS","post","subacute",45,29,37,8,45,0,22,22,29,29,29,NA,2,-95.0088200169492,29.6536155338983
"32_cluster","NICHOLAS","pre","extended",123,123,123,NA,0,0,0,NA,123,123,123,NA,1,-95.0088200169492,29.6536155338983
"32_cluster","NICHOLAS","pre","subacute",22,22,22,NA,22,22,22,NA,NA,NA,NA,NA,1,-95.0088200169492,29.6536155338983
"34_cluster","CLAUDETTE","post","acute",63,63,63,NA,63,63,63,NA,NA,NA,NA,NA,1,-90.0719117241379,29.1769082068966
"34_cluster","CLAUDETTE","post","extended",46,4,25,21,46,0,23,23,4,4,4,NA,2,-90.0719117241379,29.1769082068966
"34_cluster","CLAUDETTE","post","subacute",7,7,7,NA,7,7,7,NA,NA,NA,NA,NA,1,-90.0719117241379,29.1769082068966
"34_cluster","CLAUDETTE","pre","extended",32,22,27,5,32,22,27,5,NA,NA,NA,NA,2,-90.0719117241379,29.1769082068966
"3_cluster","BETA","post","extended",119,43,74,23,119,0,59,34,43,43,43,NA,3,-97.1000093112128,27.7692100183066
"3_cluster","BETA","pre","acute",53,53,53,NA,53,53,53,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","DELTA","during","acute",119,119,119,NA,119,119,119,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","DELTA","post","extended",45,40,43,1,0,0,0,0,45,40,43,1,3,-97.1000093112128,27.7692100183066
"3_cluster","DELTA","post","subacute",59,59,59,NA,59,59,59,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","DELTA","pre","extended",53,53,53,NA,53,53,53,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","HANNA","post","acute",153,25,89,64,153,0,76,76,25,25,25,NA,2,-97.1000093112128,27.7692100183066
"3_cluster","HANNA","post","extended",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","HANNA","post","subacute",3,3,3,NA,3,3,3,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","HANNA","pre","acute",2,2,2,NA,2,2,2,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","HANNA","pre","extended",7,0,4,1,0,0,0,0,7,3,4,1,5,-97.1000093112128,27.7692100183066
"3_cluster","HANNA","pre","subacute",4,4,4,NA,0,0,0,NA,4,4,4,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","IMELDA","during","acute",67,67,67,NA,0,0,0,NA,67,67,67,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","IMELDA","post","acute",18,18,18,NA,18,18,18,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"3_cluster","IMELDA","post","extended",155,0,33,19,155,0,32,19,4,0,1,1,8,-97.1000093112128,27.7692100183066
"3_cluster","IMELDA","post","subacute",47,15,31,9,47,15,31,9,NA,NA,NA,NA,3,-97.1000093112128,27.7692100183066
"3_cluster","IMELDA","pre","acute",162,42,102,60,162,42,102,60,NA,NA,NA,NA,2,-97.1000093112128,27.7692100183066
"3_cluster","IMELDA","pre","extended",124,28,76,48,28,0,14,14,124,124,124,NA,2,-97.1000093112128,27.7692100183066
"3_cluster","IMELDA","pre","subacute",30,30,30,NA,30,30,30,NA,NA,NA,NA,NA,1,-97.1000093112128,27.7692100183066
"42_cluster","IMELDA","post","extended",19,19,19,NA,19,19,19,NA,NA,NA,NA,NA,1,-97.2713605714286,27.4824022678571
"42_cluster","IMELDA","pre","extended",52,35,44,8,0,0,0,0,52,35,44,8,2,-97.2713605714286,27.4824022678571
"46_cluster","DELTA","post","extended",1675,1675,1675,NA,0,0,0,NA,1675,1675,1675,NA,1,-89.9945463846154,29.9399062307692
"46_cluster","DELTA","pre","acute",295,295,295,NA,295,295,295,NA,NA,NA,NA,NA,1,-89.9945463846154,29.9399062307692
"46_cluster","IDA","post","extended",193,193,193,NA,193,193,193,NA,NA,NA,NA,NA,1,-89.9945463846154,29.9399062307692
"46_cluster","IDA","pre","extended",253,253,253,NA,253,253,253,NA,NA,NA,NA,NA,1,-89.9945463846154,29.9399062307692
"46_cluster","ZETA","post","acute",1675,1675,1675,NA,0,0,0,NA,1675,1675,1675,NA,1,-89.9945463846154,29.9399062307692
"46_cluster","ZETA","pre","extended",295,295,295,NA,295,295,295,NA,NA,NA,NA,NA,1,-89.9945463846154,29.9399062307692
"58_cluster","MARCO","post","acute",1064,289,576,245,1687,0,562,562,375,289,332,43,3,-90.04972878125,29.95736728125
"58_cluster","MARCO","post","extended",1050,48,391,190,575,0,115,115,1050,48,345,239,5,-90.04972878125,29.95736728125
"58_cluster","MARCO","post","subacute",188,69,114,37,188,0,63,63,84,69,76,8,3,-90.04972878125,29.95736728125
"58_cluster","MARCO","pre","extended",1667,1667,1667,NA,0,0,0,NA,1667,1667,1667,NA,1,-90.04972878125,29.95736728125
"58_cluster","MARCO","pre","subacute",6945,6945,6945,NA,6945,6945,6945,NA,NA,NA,NA,NA,1,-90.04972878125,29.95736728125
"58_cluster","SALLY","post","acute",575,575,575,NA,575,575,575,NA,NA,NA,NA,NA,1,-90.04972878125,29.95736728125
"58_cluster","SALLY","post","extended",259,259,259,NA,0,0,0,NA,259,259,259,NA,1,-90.04972878125,29.95736728125
"58_cluster","SALLY","post","subacute",70,70,70,NA,0,0,0,NA,70,70,70,NA,1,-90.04972878125,29.95736728125
"58_cluster","SALLY","pre","acute",226,48,110,58,0,0,0,0,226,48,110,58,3,-90.04972878125,29.95736728125
"58_cluster","SALLY","pre","extended",6945,69,1288,952,6945,0,1260,976,375,69,204,76,7,-90.04972878125,29.95736728125
"58_cluster","SALLY","pre","subacute",1050,1050,1050,NA,0,0,0,NA,1050,1050,1050,NA,1,-90.04972878125,29.95736728125
"65_cluster","BETA","post","acute",15,15,15,NA,0,0,0,NA,15,15,15,NA,1,-97.163652079646,26.1098216460177
"65_cluster","BETA","post","extended",9,9,9,NA,9,9,9,NA,NA,NA,NA,NA,1,-97.163652079646,26.1098216460177
"65_cluster","BETA","pre","extended",76,76,76,NA,32,32,32,NA,NA,NA,NA,NA,1,-97.163652079646,26.1098216460177
"65_cluster","OLGA","post","acute",18,18,18,NA,0,0,0,NA,18,18,18,NA,1,-97.163652079646,26.1098216460177
"65_cluster","OLGA","post","extended",89,30,60,30,0,0,0,0,89,30,60,30,2,-97.163652079646,26.1098216460177
"65_cluster","OLGA","pre","acute",48,48,48,NA,48,48,48,NA,NA,NA,NA,NA,1,-97.163652079646,26.1098216460177
"65_cluster","OLGA","pre","extended",66,0,33,33,66,0,33,33,0,0,0,NA,2,-97.163652079646,26.1098216460177
"65_cluster","OLGA","pre","subacute",58,52,55,3,114,52,83,31,NA,NA,NA,NA,2,-97.163652079646,26.1098216460177
"6_cluster","FRANCINE","post","subacute",0,0,0,NA,0,0,0,NA,0,0,0,NA,1,-94.04676075,29.673591625
"6_cluster","FRANCINE","pre","extended",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-94.04676075,29.673591625
"73_cluster","BARRY","post","extended",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-87.8377128928571,30.3767237857143
"73_cluster","BARRY","pre","extended",2,2,2,NA,0,0,0,NA,2,2,2,NA,1,-87.8377128928571,30.3767237857143
"73_cluster","CRISTOBAL","post","extended",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-87.8377128928571,30.3767237857143
"73_cluster","CRISTOBAL","pre","acute",2,2,2,NA,2,2,2,NA,NA,NA,NA,NA,1,-87.8377128928571,30.3767237857143
"73_cluster","CRISTOBAL","pre","subacute",0,0,0,NA,0,0,0,NA,0,0,0,NA,1,-87.8377128928571,30.3767237857143
"74_cluster","CRISTOBAL","post","extended",4,4,4,NA,0,0,0,NA,4,4,4,NA,1,-87.8525756521739,30.3787915652174
"74_cluster","CRISTOBAL","pre","subacute",4,4,4,NA,4,4,4,NA,NA,NA,NA,NA,1,-87.8525756521739,30.3787915652174
"74_cluster","NESTOR","post","subacute",2,2,2,NA,0,0,0,NA,2,2,2,NA,1,-87.8525756521739,30.3787915652174
"74_cluster","NESTOR","pre","extended",2,2,2,NA,0,0,0,NA,2,2,2,NA,1,-87.8525756521739,30.3787915652174
"9_cluster","BARRY","post","subacute",33,12,22,10,33,0,16,16,12,12,12,NA,2,-94.829336392054,29.2662303388306
"9_cluster","BARRY","pre","acute",11,11,11,NA,11,11,11,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","BARRY","pre","extended",48,8,25,6,42,0,18,6,48,8,28,20,7,-94.829336392054,29.2662303388306
"9_cluster","BARRY","pre","subacute",9,9,9,NA,9,9,9,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","BERYL","post","subacute",42,42,42,NA,42,42,42,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","BERYL","pre","extended",5,1,2,1,5,1,2,1,NA,NA,NA,NA,3,-94.829336392054,29.2662303388306
"9_cluster","BERYL","pre","subacute",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-94.829336392054,29.2662303388306
"9_cluster","BETA","during","acute",70,70,70,NA,114,114,114,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","BETA","post","acute",45,17,31,14,45,16,30,14,NA,NA,NA,NA,2,-94.829336392054,29.2662303388306
"9_cluster","BETA","post","extended",30,4,17,13,4,0,2,2,30,30,30,NA,2,-94.829336392054,29.2662303388306
"9_cluster","BETA","pre","acute",61,61,61,NA,61,61,61,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","BETA","pre","extended",115,115,115,NA,115,115,115,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","BETA","pre","subacute",38,5,22,16,65,2,34,31,NA,NA,NA,NA,2,-94.829336392054,29.2662303388306
"9_cluster","DELTA","post","acute",30,30,30,NA,0,0,0,NA,30,30,30,NA,1,-94.829336392054,29.2662303388306
"9_cluster","DELTA","pre","acute",4,4,4,NA,4,4,4,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","DELTA","pre","extended",70,5,39,10,114,2,50,16,NA,NA,NA,NA,6,-94.829336392054,29.2662303388306
"9_cluster","HANNA","post","acute",20,20,20,NA,10,10,10,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","HANNA","post","extended",16,8,13,3,0,0,0,0,16,8,13,3,3,-94.829336392054,29.2662303388306
"9_cluster","HANNA","post","subacute",1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","HANNA","pre","extended",10,10,10,NA,0,0,0,NA,10,10,10,NA,1,-94.829336392054,29.2662303388306
"9_cluster","IMELDA","post","acute",75,53,64,11,83,53,68,15,NA,NA,NA,NA,2,-94.829336392054,29.2662303388306
"9_cluster","IMELDA","post","extended",100,25,62,19,100,25,62,19,NA,NA,NA,NA,4,-94.829336392054,29.2662303388306
"9_cluster","IMELDA","post","subacute",141,62,112,17,141,62,112,17,NA,NA,NA,NA,4,-94.829336392054,29.2662303388306
"9_cluster","IMELDA","pre","acute",45,8,21,12,10,0,6,3,8,8,8,NA,3,-94.829336392054,29.2662303388306
"9_cluster","IMELDA","pre","extended",22,0,7,4,5,0,1,1,22,0,7,5,5,-94.829336392054,29.2662303388306
"9_cluster","IMELDA","pre","subacute",23,0,8,8,0,0,0,0,23,0,8,8,3,-94.829336392054,29.2662303388306
"9_cluster","LAURA","post","extended",70,5,44,11,114,2,57,18,NA,NA,NA,NA,5,-94.829336392054,29.2662303388306
"9_cluster","LAURA","pre","acute",115,115,115,NA,115,115,115,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","LAURA","pre","extended",20,1,12,6,10,0,4,3,16,16,16,NA,3,-94.829336392054,29.2662303388306
"9_cluster","LAURA","pre","subacute",15,8,12,3,0,0,0,0,15,8,12,3,2,-94.829336392054,29.2662303388306
"9_cluster","NICHOLAS","post","acute",22,22,22,NA,22,22,22,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
"9_cluster","NICHOLAS","post","extended",8,1,5,2,6,0,2,2,8,1,4,3,3,-94.829336392054,29.2662303388306
"9_cluster","NICHOLAS","post","subacute",4,4,4,NA,5,5,5,NA,NA,NA,NA,NA,1,-94.829336392054,29.2662303388306
